Vardas               Pavarde             ND1                 ND2                 ND3                 ND4                 ND5                 ND6                 Egzaminas            

Vardas720            Pavarde720          6                   5                   9                   7                   8                   10                  6                    

Vardas721            Pavarde721          6                   8                   7                   2                   8                   2                   2                    

Vardas722            Pavarde722          8                   8                   2                   9                   1                   10                  1                    

Vardas723            Pavarde723          6                   1                   1                   9                   3                   4                   9                    

Vardas724            Pavarde724          9                   8                   2                   1                   10                  3                   5                    

Vardas725            Pavarde725          9                   2                   7                   3                   9                   4                   10                   

Vardas726            Pavarde726          5                   3                   7                   4                   9                   2                   2                    

Vardas727            Pavarde727          7                   6                   2                   9                   9                   9                   10                   

Vardas728            Pavarde728          5                   8                   8                   6                   6                   8                   8                    

Vardas729            Pavarde729          1                   5                   2                   9                   9                   8                   10                   

Vardas730            Pavarde730          6                   6                   7                   3                   6                   2                   1                    

Vardas731            Pavarde731          8                   4                   6                   4                   2                   8                   2                    

Vardas732            Pavarde732          2                   1                   2                   2                   4                   5                   5                    

Vardas733            Pavarde733          4                   9                   7                   3                   7                   2                   5                    

Vardas734            Pavarde734          8                   6                   6                   1                   5                   2                   2                    

Vardas735            Pavarde735          1                   6                   7                   3                   7                   10                  7                    

Vardas736            Pavarde736          5                   3                   3                   5                   10                  6                   10                   

Vardas737            Pavarde737          5                   10                  8                   5                   4                   5                   2                    

Vardas738            Pavarde738          7                   10                  10                  10                  10                  6                   1                    

Vardas739            Pavarde739          8                   1                   4                   8                   6                   1                   1                    

Vardas740            Pavarde740          5                   5                   9                   7                   5                   9                   10                   

Vardas741            Pavarde741          7                   5                   9                   7                   7                   6                   3                    

Vardas742            Pavarde742          7                   9                   6                   1                   7                   1                   5                    

Vardas743            Pavarde743          6                   7                   4                   8                   4                   6                   8                    

Vardas744            Pavarde744          2                   10                  7                   5                   6                   9                   10                   

Vardas745            Pavarde745          5                   9                   8                   9                   7                   3                   10                   

Vardas746            Pavarde746          6                   2                   3                   4                   1                   8                   2                    

Vardas747            Pavarde747          3                   8                   7                   9                   10                  7                   10                   

Vardas748            Pavarde748          9                   6                   10                  1                   3                   3                   6                    

Vardas749            Pavarde749          6                   2                   3                   1                   7                   4                   2                    

Vardas750            Pavarde750          10                  8                   3                   1                   8                   5                   10                   

Vardas751            Pavarde751          5                   1                   4                   4                   9                   6                   10                   

Vardas752            Pavarde752          2                   10                  6                   6                   3                   1                   7                    

Vardas753            Pavarde753          4                   9                   8                   5                   1                   5                   1                    

Vardas754            Pavarde754          1                   1                   3                   5                   5                   10                  3                    

Vardas755            Pavarde755          10                  5                   9                   3                   2                   10                  4                    

Vardas756            Pavarde756          5                   6                   8                   5                   7                   6                   4                    

Vardas757            Pavarde757          2                   7                   6                   5                   3                   6                   7                    

Vardas758            Pavarde758          10                  5                   7                   8                   10                  10                  5                    

Vardas759            Pavarde759          10                  2                   10                  4                   7                   7                   3                    

Vardas760            Pavarde760          6                   8                   4                   1                   1                   4                   9                    

Vardas761            Pavarde761          3                   1                   10                  5                   9                   7                   9                    

Vardas762            Pavarde762          4                   8                   10                  2                   4                   7                   10                   

Vardas763            Pavarde763          10                  3                   5                   3                   10                  9                   6                    

Vardas764            Pavarde764          5                   9                   1                   10                  9                   2                   7                    

Vardas765            Pavarde765          10                  2                   5                   3                   3                   8                   8                    

Vardas766            Pavarde766          4                   7                   4                   2                   4                   7                   6                    

Vardas767            Pavarde767          4                   10                  3                   3                   1                   3                   6                    

Vardas768            Pavarde768          5                   10                  9                   2                   5                   4                   8                    

Vardas769            Pavarde769          3                   9                   5                   10                  6                   3                   5                    

Vardas770            Pavarde770          6                   6                   10                  2                   9                   3                   7                    

Vardas771            Pavarde771          7                   1                   1                   7                   3                   10                  2                    

Vardas772            Pavarde772          9                   9                   7                   9                   10                  1                   5                    

Vardas773            Pavarde773          3                   7                   2                   8                   4                   1                   2                    

Vardas774            Pavarde774          8                   10                  2                   8                   4                   2                   9                    

Vardas775            Pavarde775          5                   4                   2                   2                   1                   10                  9                    

Vardas776            Pavarde776          9                   8                   5                   3                   5                   6                   5                    

Vardas777            Pavarde777          1                   9                   2                   6                   2                   10                  3                    

Vardas778            Pavarde778          10                  9                   4                   5                   2                   5                   9                    

Vardas779            Pavarde779          2                   10                  9                   9                   8                   4                   5                    

Vardas780            Pavarde780          5                   6                   7                   10                  2                   7                   5                    

Vardas781            Pavarde781          9                   7                   6                   10                  5                   8                   8                    

Vardas782            Pavarde782          1                   10                  3                   3                   2                   6                   6                    

Vardas783            Pavarde783          6                   8                   7                   9                   5                   1                   7                    

Vardas784            Pavarde784          8                   6                   4                   7                   3                   10                  6                    

Vardas785            Pavarde785          4                   5                   7                   1                   4                   9                   1                    

Vardas786            Pavarde786          2                   9                   6                   8                   8                   2                   1                    

Vardas787            Pavarde787          1                   7                   7                   7                   9                   9                   10                   

Vardas788            Pavarde788          8                   1                   1                   7                   7                   8                   2                    

Vardas789            Pavarde789          2                   2                   3                   2                   8                   2                   8                    

Vardas790            Pavarde790          5                   6                   2                   9                   7                   6                   4                    

Vardas791            Pavarde791          10                  2                   2                   8                   9                   6                   8                    

Vardas792            Pavarde792          9                   8                   1                   5                   2                   6                   6                    

Vardas793            Pavarde793          5                   7                   4                   8                   1                   9                   1                    

Vardas794            Pavarde794          7                   3                   6                   1                   10                  4                   6                    

Vardas795            Pavarde795          2                   5                   9                   2                   4                   6                   9                    

Vardas796            Pavarde796          9                   9                   10                  8                   3                   4                   3                    

Vardas797            Pavarde797          5                   3                   8                   7                   6                   3                   10                   

Vardas798            Pavarde798          9                   8                   1                   6                   7                   4                   3                    

Vardas799            Pavarde799          9                   7                   8                   10                  3                   3                   8                    

Vardas800            Pavarde800          3                   2                   4                   8                   10                  8                   6                    

Vardas801            Pavarde801          8                   5                   1                   9                   6                   8                   2                    

Vardas802            Pavarde802          10                  9                   4                   4                   1                   6                   3                    

Vardas803            Pavarde803          7                   8                   6                   8                   3                   6                   1                    

Vardas804            Pavarde804          3                   3                   8                   10                  2                   6                   3                    

Vardas805            Pavarde805          2                   5                   9                   7                   5                   4                   2                    

Vardas806            Pavarde806          4                   1                   8                   2                   6                   1                   9                    

Vardas807            Pavarde807          9                   4                   6                   2                   7                   5                   6                    

Vardas808            Pavarde808          4                   8                   1                   8                   3                   6                   5                    

Vardas809            Pavarde809          2                   3                   10                  4                   3                   10                  9                    

Vardas810            Pavarde810          5                   6                   8                   7                   3                   2                   4                    

Vardas811            Pavarde811          8                   9                   6                   7                   5                   2                   5                    

Vardas812            Pavarde812          10                  3                   8                   6                   2                   8                   8                    

Vardas813            Pavarde813          7                   9                   9                   3                   9                   7                   3                    

Vardas814            Pavarde814          8                   9                   8                   4                   2                   1                   5                    

Vardas815            Pavarde815          8                   8                   6                   5                   4                   3                   7                    

Vardas816            Pavarde816          10                  5                   1                   8                   4                   10                  2                    

Vardas817            Pavarde817          1                   2                   8                   2                   3                   2                   8                    

Vardas818            Pavarde818          8                   9                   4                   4                   5                   1                   1                    

Vardas819            Pavarde819          1                   8                   4                   3                   2                   1                   2                    

Vardas820            Pavarde820          5                   2                   2                   8                   6                   2                   8                    

Vardas821            Pavarde821          4                   9                   6                   5                   8                   1                   8                    

Vardas822            Pavarde822          7                   1                   2                   10                  9                   7                   1                    

Vardas823            Pavarde823          9                   3                   1                   9                   2                   6                   10                   

Vardas824            Pavarde824          7                   7                   5                   3                   10                  1                   6                    

Vardas825            Pavarde825          10                  7                   4                   7                   1                   1                   4                    

Vardas826            Pavarde826          1                   9                   10                  8                   1                   4                   5                    

Vardas827            Pavarde827          8                   3                   4                   3                   5                   2                   6                    

Vardas828            Pavarde828          10                  2                   10                  4                   6                   9                   7                    

Vardas829            Pavarde829          2                   1                   2                   8                   1                   2                   7                    

Vardas830            Pavarde830          5                   9                   3                   9                   7                   7                   9                    

Vardas831            Pavarde831          4                   1                   2                   1                   3                   6                   9                    

Vardas832            Pavarde832          5                   2                   10                  6                   9                   1                   1                    

Vardas833            Pavarde833          5                   5                   3                   5                   3                   7                   10                   

Vardas834            Pavarde834          9                   9                   10                  1                   2                   8                   4                    

Vardas835            Pavarde835          5                   1                   5                   8                   6                   8                   7                    

Vardas836            Pavarde836          2                   8                   4                   4                   4                   9                   8                    

Vardas837            Pavarde837          9                   2                   3                   2                   2                   7                   10                   

Vardas838            Pavarde838          4                   10                  4                   5                   10                  9                   6                    

Vardas839            Pavarde839          3                   3                   1                   1                   8                   6                   1                    

Vardas840            Pavarde840          2                   6                   8                   3                   3                   4                   4                    

Vardas841            Pavarde841          7                   10                  2                   10                  9                   2                   1                    

Vardas842            Pavarde842          7                   7                   9                   1                   2                   5                   1                    

Vardas843            Pavarde843          1                   1                   4                   7                   9                   2                   10                   

Vardas844            Pavarde844          6                   3                   3                   6                   4                   8                   7                    

Vardas845            Pavarde845          7                   6                   10                  9                   3                   6                   7                    

Vardas846            Pavarde846          1                   2                   6                   1                   7                   5                   6                    

Vardas847            Pavarde847          6                   3                   1                   6                   1                   10                  2                    

Vardas848            Pavarde848          5                   5                   7                   4                   3                   5                   2                    

Vardas849            Pavarde849          7                   10                  4                   6                   5                   4                   10                   

Vardas850            Pavarde850          1                   10                  2                   9                   9                   4                   1                    

Vardas851            Pavarde851          9                   8                   6                   2                   7                   4                   10                   

Vardas852            Pavarde852          1                   3                   10                  3                   8                   6                   3                    

Vardas853            Pavarde853          2                   3                   5                   1                   2                   6                   4                    

Vardas854            Pavarde854          3                   2                   5                   3                   2                   7                   5                    

Vardas855            Pavarde855          3                   9                   7                   3                   6                   1                   6                    

Vardas856            Pavarde856          7                   1                   3                   6                   2                   2                   6                    

Vardas857            Pavarde857          7                   4                   4                   8                   8                   8                   10                   

Vardas858            Pavarde858          7                   8                   9                   8                   9                   7                   7                    

Vardas859            Pavarde859          6                   2                   10                  5                   7                   5                   9                    

Vardas860            Pavarde860          5                   4                   1                   3                   5                   7                   6                    

Vardas861            Pavarde861          2                   3                   5                   1                   5                   8                   6                    

Vardas862            Pavarde862          9                   2                   6                   4                   9                   6                   7                    

Vardas863            Pavarde863          2                   9                   6                   8                   5                   10                  1                    

Vardas864            Pavarde864          10                  3                   2                   5                   7                   8                   3                    

Vardas865            Pavarde865          1                   4                   6                   3                   2                   4                   5                    

Vardas866            Pavarde866          5                   5                   7                   5                   9                   1                   8                    

Vardas867            Pavarde867          10                  5                   1                   9                   10                  2                   3                    

Vardas868            Pavarde868          5                   5                   5                   1                   8                   6                   3                    

Vardas869            Pavarde869          10                  4                   6                   8                   10                  4                   9                    

Vardas870            Pavarde870          9                   1                   2                   8                   2                   2                   7                    

Vardas871            Pavarde871          4                   9                   4                   6                   10                  3                   10                   

Vardas872            Pavarde872          9                   1                   7                   8                   7                   10                  6                    

Vardas873            Pavarde873          9                   1                   3                   4                   9                   3                   5                    

Vardas874            Pavarde874          1                   2                   7                   9                   8                   10                  2                    

Vardas875            Pavarde875          5                   10                  1                   8                   10                  7                   2                    

Vardas876            Pavarde876          7                   2                   5                   8                   3                   3                   2                    

Vardas877            Pavarde877          4                   10                  1                   4                   4                   3                   10                   

Vardas878            Pavarde878          10                  9                   4                   4                   10                  2                   4                    

Vardas879            Pavarde879          8                   7                   7                   3                   4                   9                   5                    

Vardas880            Pavarde880          1                   6                   10                  7                   4                   5                   2                    

Vardas881            Pavarde881          9                   9                   7                   6                   10                  4                   8                    

Vardas882            Pavarde882          2                   7                   6                   4                   7                   2                   5                    

Vardas883            Pavarde883          2                   7                   5                   10                  5                   9                   10                   

Vardas884            Pavarde884          6                   9                   6                   10                  4                   8                   3                    

Vardas885            Pavarde885          4                   1                   8                   10                  9                   9                   1                    

Vardas886            Pavarde886          1                   8                   8                   10                  8                   6                   6                    

Vardas887            Pavarde887          1                   2                   9                   7                   7                   10                  9                    

Vardas888            Pavarde888          10                  5                   7                   9                   7                   3                   4                    

Vardas889            Pavarde889          1                   1                   7                   6                   7                   5                   9                    

Vardas890            Pavarde890          6                   8                   4                   9                   4                   4                   2                    

Vardas891            Pavarde891          10                  8                   1                   7                   3                   5                   5                    

Vardas892            Pavarde892          7                   8                   3                   8                   8                   4                   5                    

Vardas893            Pavarde893          7                   1                   2                   3                   7                   8                   1                    

Vardas894            Pavarde894          8                   1                   4                   2                   1                   8                   5                    

Vardas895            Pavarde895          4                   5                   9                   3                   7                   8                   1                    

Vardas896            Pavarde896          8                   7                   2                   4                   8                   9                   4                    

Vardas897            Pavarde897          3                   4                   9                   10                  1                   4                   10                   

Vardas898            Pavarde898          8                   3                   6                   8                   7                   1                   2                    

Vardas899            Pavarde899          7                   7                   6                   2                   8                   1                   3                    

Vardas900            Pavarde900          4                   4                   5                   2                   7                   5                   9                    

Vardas901            Pavarde901          5                   10                  9                   9                   9                   7                   5                    

Vardas902            Pavarde902          7                   6                   2                   1                   4                   6                   7                    

Vardas903            Pavarde903          2                   3                   6                   10                  7                   9                   2                    

Vardas904            Pavarde904          1                   6                   3                   1                   9                   2                   10                   

Vardas905            Pavarde905          1                   5                   9                   5                   10                  1                   4                    

Vardas906            Pavarde906          3                   8                   10                  8                   5                   7                   10                   

Vardas907            Pavarde907          1                   5                   2                   4                   5                   6                   2                    

Vardas908            Pavarde908          2                   9                   2                   10                  6                   8                   4                    

Vardas909            Pavarde909          4                   7                   8                   1                   6                   6                   7                    

Vardas910            Pavarde910          2                   4                   6                   5                   5                   4                   9                    

Vardas911            Pavarde911          6                   7                   3                   3                   2                   2                   10                   

Vardas912            Pavarde912          2                   2                   7                   4                   6                   8                   9                    

Vardas913            Pavarde913          6                   7                   6                   4                   4                   10                  10                   

Vardas914            Pavarde914          2                   2                   8                   9                   2                   3                   10                   

Vardas915            Pavarde915          1                   6                   10                  10                  3                   4                   6                    

Vardas916            Pavarde916          3                   10                  7                   5                   7                   4                   2                    

Vardas917            Pavarde917          5                   1                   7                   1                   9                   8                   6                    

Vardas918            Pavarde918          8                   1                   1                   2                   5                   10                  5                    

Vardas919            Pavarde919          5                   5                   4                   1                   9                   1                   2                    

Vardas920            Pavarde920          6                   8                   5                   4                   5                   4                   3                    

Vardas921            Pavarde921          7                   9                   10                  7                   6                   8                   7                    

Vardas922            Pavarde922          1                   2                   9                   4                   5                   5                   3                    

Vardas923            Pavarde923          6                   9                   8                   8                   4                   2                   9                    

Vardas924            Pavarde924          6                   3                   4                   8                   4                   1                   10                   

Vardas925            Pavarde925          4                   2                   7                   5                   5                   4                   1                    

Vardas926            Pavarde926          2                   1                   5                   9                   3                   8                   5                    

Vardas927            Pavarde927          3                   6                   8                   5                   7                   9                   1                    

Vardas928            Pavarde928          9                   7                   6                   1                   2                   5                   2                    

Vardas929            Pavarde929          6                   6                   10                  2                   8                   8                   8                    

Vardas930            Pavarde930          10                  2                   9                   1                   1                   3                   4                    

Vardas931            Pavarde931          8                   4                   9                   2                   5                   5                   3                    

Vardas932            Pavarde932          8                   7                   4                   8                   2                   10                  5                    

Vardas933            Pavarde933          6                   2                   4                   3                   9                   9                   7                    

Vardas934            Pavarde934          6                   6                   8                   6                   1                   7                   4                    

Vardas935            Pavarde935          4                   9                   4                   6                   6                   8                   1                    

Vardas936            Pavarde936          4                   7                   9                   8                   1                   10                  9                    

Vardas937            Pavarde937          10                  7                   5                   6                   8                   4                   4                    

Vardas938            Pavarde938          1                   5                   8                   3                   5                   8                   3                    

Vardas939            Pavarde939          8                   2                   7                   4                   8                   9                   4                    

Vardas940            Pavarde940          9                   10                  3                   6                   2                   4                   3                    

Vardas941            Pavarde941          5                   6                   6                   9                   9                   8                   7                    

Vardas942            Pavarde942          9                   3                   10                  3                   4                   10                  4                    

Vardas943            Pavarde943          4                   7                   4                   2                   1                   9                   6                    

Vardas944            Pavarde944          5                   2                   5                   4                   2                   6                   1                    

Vardas945            Pavarde945          8                   2                   10                  7                   10                  2                   6                    

Vardas946            Pavarde946          10                  2                   4                   6                   10                  7                   10                   

Vardas947            Pavarde947          9                   8                   1                   4                   10                  10                  5                    

Vardas948            Pavarde948          3                   10                  4                   2                   6                   7                   1                    

Vardas949            Pavarde949          4                   2                   6                   8                   3                   6                   2                    

Vardas950            Pavarde950          2                   10                  7                   5                   9                   9                   5                    

Vardas951            Pavarde951          5                   10                  7                   1                   2                   7                   6                    

Vardas952            Pavarde952          5                   4                   10                  3                   6                   6                   5                    

Vardas953            Pavarde953          2                   6                   5                   5                   5                   6                   6                    

Vardas954            Pavarde954          1                   9                   8                   7                   1                   8                   8                    

Vardas955            Pavarde955          8                   5                   10                  1                   1                   1                   8                    

Vardas956            Pavarde956          1                   8                   2                   4                   1                   5                   9                    

Vardas957            Pavarde957          8                   6                   6                   7                   10                  7                   10                   

Vardas958            Pavarde958          4                   3                   10                  4                   4                   9                   5                    

Vardas959            Pavarde959          2                   9                   4                   1                   9                   9                   8                    

Vardas960            Pavarde960          9                   10                  2                   5                   6                   8                   2                    

Vardas961            Pavarde961          9                   3                   2                   5                   1                   7                   4                    

Vardas962            Pavarde962          3                   3                   1                   2                   1                   8                   4                    

Vardas963            Pavarde963          3                   1                   8                   8                   3                   4                   10                   
