Vardas               Pavarde              Galutinis (vid.)     Galutinis (med.)    
Vardas21078          Pavarde21078         4.75                 5.60                
Vardas21092          Pavarde21092         4.00                 5.10                
Vardas21093          Pavarde21093         2.90                 3.80                
Vardas2110           Pavarde2110          1.95                 2.50                
Vardas21101          Pavarde21101         4.35                 5.40                
Vardas21106          Pavarde21106         5.00                 6.40                
Vardas21107          Pavarde21107         3.95                 4.00                
Vardas2111           Pavarde2111          3.05                 4.40                
Vardas21110          Pavarde21110         2.50                 3.40                
Vardas21115          Pavarde21115         4.40                 5.80                
Vardas21116          Pavarde21116         4.25                 4.90                
Vardas21125          Pavarde21125         4.30                 6.00                
Vardas2113           Pavarde2113          4.00                 5.90                
Vardas21131          Pavarde21131         4.60                 5.80                
Vardas21132          Pavarde21132         3.60                 4.20                
Vardas21133          Pavarde21133         2.80                 4.00                
Vardas21134          Pavarde21134         4.20                 5.40                
Vardas21136          Pavarde21136         4.55                 5.20                
Vardas21138          Pavarde21138         3.70                 4.50                
Vardas21140          Pavarde21140         2.40                 3.40                
Vardas21141          Pavarde21141         3.25                 4.40                
Vardas21142          Pavarde21142         3.10                 4.40                
Vardas21143          Pavarde21143         3.95                 5.10                
Vardas21148          Pavarde21148         2.85                 3.70                
Vardas21149          Pavarde21149         3.55                 4.50                
Vardas2115           Pavarde2115          3.05                 4.30                
Vardas21150          Pavarde21150         2.40                 2.90                
Vardas21152          Pavarde21152         2.40                 3.70                
Vardas21153          Pavarde21153         3.75                 4.00                
Vardas21154          Pavarde21154         4.15                 4.30                
Vardas21156          Pavarde21156         3.65                 4.50                
Vardas21157          Pavarde21157         5.00                 6.40                
Vardas21158          Pavarde21158         2.05                 3.10                
Vardas21159          Pavarde21159         2.40                 3.10                
Vardas21160          Pavarde21160         3.65                 4.80                
Vardas21161          Pavarde21161         4.20                 5.10                
Vardas21163          Pavarde21163         4.30                 4.70                
Vardas21165          Pavarde21165         1.90                 2.20                
Vardas21167          Pavarde21167         2.80                 2.90                
Vardas21175          Pavarde21175         4.65                 5.80                
Vardas21177          Pavarde21177         3.85                 4.00                
Vardas21180          Pavarde21180         3.10                 4.10                
Vardas21182          Pavarde21182         3.80                 4.80                
Vardas21185          Pavarde21185         2.00                 2.50                
Vardas21189          Pavarde21189         3.25                 4.40                
Vardas2119           Pavarde2119          3.05                 4.40                
Vardas21191          Pavarde21191         3.55                 4.40                
Vardas21192          Pavarde21192         2.95                 4.10                
Vardas21193          Pavarde21193         3.55                 4.20                
Vardas21207          Pavarde21207         2.40                 3.70                
Vardas21208          Pavarde21208         4.45                 4.70                
Vardas21209          Pavarde21209         2.25                 3.10                
Vardas21210          Pavarde21210         3.20                 4.40                
Vardas21213          Pavarde21213         3.35                 4.10                
Vardas21216          Pavarde21216         5.00                 5.90                
Vardas21219          Pavarde21219         4.40                 4.70                
Vardas2122           Pavarde2122          2.75                 3.50                
Vardas21220          Pavarde21220         1.40                 1.60                
Vardas21221          Pavarde21221         2.25                 3.10                
Vardas21222          Pavarde21222         2.40                 4.00                
Vardas21226          Pavarde21226         2.60                 4.30                
Vardas21227          Pavarde21227         3.20                 3.90                
Vardas21229          Pavarde21229         3.25                 3.60                
Vardas2123           Pavarde2123          2.50                 3.70                
Vardas21232          Pavarde21232         3.65                 4.80                
Vardas21236          Pavarde21236         3.60                 4.20                
Vardas21237          Pavarde21237         4.95                 5.60                
Vardas21238          Pavarde21238         3.30                 3.90                
Vardas21240          Pavarde21240         4.35                 4.90                
Vardas21241          Pavarde21241         3.85                 4.50                
Vardas21242          Pavarde21242         2.95                 4.00                
Vardas21243          Pavarde21243         2.35                 2.90                
Vardas21245          Pavarde21245         4.55                 5.50                
Vardas21247          Pavarde21247         4.95                 5.90                
Vardas21251          Pavarde21251         4.80                 5.60                
Vardas21252          Pavarde21252         3.55                 4.20                
Vardas21255          Pavarde21255         2.90                 3.80                
Vardas21259          Pavarde21259         4.80                 6.10                
Vardas2126           Pavarde2126          3.70                 4.50                
Vardas21260          Pavarde21260         3.85                 5.40                
Vardas21261          Pavarde21261         3.55                 4.20                
Vardas21263          Pavarde21263         4.50                 4.90                
Vardas21268          Pavarde21268         2.40                 3.40                
Vardas21271          Pavarde21271         3.65                 4.20                
Vardas21273          Pavarde21273         3.20                 3.60                
Vardas21274          Pavarde21274         3.30                 4.20                
Vardas21277          Pavarde21277         3.40                 4.70                
Vardas21278          Pavarde21278         4.90                 5.30                
Vardas21281          Pavarde21281         2.85                 3.80                
Vardas21283          Pavarde21283         2.45                 3.70                
Vardas21284          Pavarde21284         2.00                 2.80                
Vardas21288          Pavarde21288         2.80                 3.70                
Vardas21290          Pavarde21290         3.00                 4.90                
Vardas21292          Pavarde21292         3.90                 5.10                
Vardas21294          Pavarde21294         4.05                 4.60                
Vardas21298          Pavarde21298         2.95                 4.10                
Vardas21299          Pavarde21299         3.00                 3.80                
Vardas213            Pavarde213           3.60                 3.60                
Vardas2130           Pavarde2130          2.00                 2.20                
Vardas21304          Pavarde21304         2.25                 3.10                
Vardas21309          Pavarde21309         4.00                 5.70                
Vardas21310          Pavarde21310         4.80                 5.60                
Vardas21316          Pavarde21316         4.75                 5.80                
Vardas21317          Pavarde21317         4.55                 4.90                
Vardas2132           Pavarde2132          2.25                 2.50                
Vardas21320          Pavarde21320         3.05                 3.80                
Vardas21324          Pavarde21324         2.55                 4.30                
Vardas21326          Pavarde21326         2.75                 4.60                
Vardas21327          Pavarde21327         4.75                 5.30                
Vardas2133           Pavarde2133          4.85                 6.40                
Vardas21330          Pavarde21330         3.20                 4.40                
Vardas21334          Pavarde21334         3.45                 4.60                
Vardas21336          Pavarde21336         3.15                 4.70                
Vardas21337          Pavarde21337         2.85                 3.50                
Vardas2134           Pavarde2134          2.65                 3.50                
Vardas21343          Pavarde21343         2.20                 2.80                
Vardas21344          Pavarde21344         2.95                 3.80                
Vardas21345          Pavarde21345         1.85                 1.90                
Vardas21353          Pavarde21353         3.65                 4.80                
Vardas21356          Pavarde21356         3.75                 5.00                
Vardas21361          Pavarde21361         3.75                 3.70                
Vardas21362          Pavarde21362         3.95                 5.10                
Vardas21364          Pavarde21364         2.80                 3.50                
Vardas21366          Pavarde21366         3.55                 3.90                
Vardas21369          Pavarde21369         3.45                 5.00                
Vardas2137           Pavarde2137          4.65                 5.60                
Vardas21371          Pavarde21371         4.15                 6.00                
Vardas21372          Pavarde21372         3.10                 4.90                
Vardas21373          Pavarde21373         2.85                 2.90                
Vardas21380          Pavarde21380         3.35                 4.70                
Vardas21384          Pavarde21384         4.05                 5.70                
Vardas21387          Pavarde21387         3.80                 4.50                
Vardas2139           Pavarde2139          4.35                 5.50                
Vardas21390          Pavarde21390         3.75                 4.80                
Vardas21392          Pavarde21392         3.15                 4.40                
Vardas21393          Pavarde21393         3.75                 4.20                
Vardas21394          Pavarde21394         2.25                 3.10                
Vardas21395          Pavarde21395         4.10                 6.00                
Vardas214            Pavarde214           4.90                 5.90                
Vardas2140           Pavarde2140          2.60                 3.70                
Vardas21402          Pavarde21402         4.45                 5.80                
Vardas21405          Pavarde21405         4.25                 5.40                
Vardas21407          Pavarde21407         4.55                 4.90                
Vardas21408          Pavarde21408         4.45                 4.40                
Vardas21409          Pavarde21409         3.85                 5.60                
Vardas2141           Pavarde2141          4.90                 5.60                
Vardas21410          Pavarde21410         2.65                 2.90                
Vardas21413          Pavarde21413         3.30                 4.40                
Vardas21414          Pavarde21414         3.15                 4.40                
Vardas21416          Pavarde21416         4.05                 4.80                
Vardas21422          Pavarde21422         3.75                 4.80                
Vardas21424          Pavarde21424         4.10                 5.10                
Vardas21425          Pavarde21425         4.10                 5.40                
Vardas21426          Pavarde21426         2.30                 2.80                
Vardas21429          Pavarde21429         2.25                 3.40                
Vardas21431          Pavarde21431         4.10                 5.40                
Vardas21434          Pavarde21434         2.40                 3.10                
Vardas21436          Pavarde21436         4.25                 4.90                
Vardas21437          Pavarde21437         2.40                 3.10                
Vardas21442          Pavarde21442         2.15                 2.80                
Vardas21444          Pavarde21444         2.95                 4.30                
Vardas21447          Pavarde21447         2.20                 2.80                
Vardas21450          Pavarde21450         1.90                 2.50                
Vardas21452          Pavarde21452         3.25                 4.70                
Vardas21455          Pavarde21455         4.90                 5.60                
Vardas21458          Pavarde21458         3.30                 3.30                
Vardas21460          Pavarde21460         2.75                 3.70                
Vardas21462          Pavarde21462         3.50                 5.00                
Vardas21464          Pavarde21464         3.20                 4.40                
Vardas21467          Pavarde21467         2.40                 2.90                
Vardas21469          Pavarde21469         4.55                 5.50                
Vardas21470          Pavarde21470         2.75                 4.00                
Vardas21473          Pavarde21473         2.95                 3.80                
Vardas21474          Pavarde21474         2.75                 3.40                
Vardas21475          Pavarde21475         3.35                 4.20                
Vardas21476          Pavarde21476         3.40                 4.10                
Vardas21480          Pavarde21480         3.15                 4.10                
Vardas21481          Pavarde21481         3.55                 4.20                
Vardas21491          Pavarde21491         3.00                 4.10                
Vardas21492          Pavarde21492         4.00                 5.40                
Vardas2150           Pavarde2150          4.20                 4.90                
Vardas21501          Pavarde21501         2.70                 3.70                
Vardas21504          Pavarde21504         2.75                 3.70                
Vardas21506          Pavarde21506         3.80                 4.20                
Vardas2151           Pavarde2151          3.15                 4.40                
Vardas21511          Pavarde21511         3.95                 5.10                
Vardas21512          Pavarde21512         3.85                 3.70                
Vardas21513          Pavarde21513         3.60                 4.50                
Vardas21515          Pavarde21515         3.50                 4.70                
Vardas21518          Pavarde21518         4.30                 5.10                
Vardas21519          Pavarde21519         4.60                 5.30                
Vardas2152           Pavarde2152          3.40                 3.60                
Vardas21520          Pavarde21520         2.50                 3.70                
Vardas21523          Pavarde21523         2.05                 3.10                
Vardas21526          Pavarde21526         3.95                 5.40                
Vardas21527          Pavarde21527         3.40                 4.20                
Vardas21531          Pavarde21531         1.70                 1.90                
Vardas21533          Pavarde21533         4.10                 5.10                
Vardas21537          Pavarde21537         2.90                 3.50                
Vardas21538          Pavarde21538         3.25                 4.70                
Vardas21540          Pavarde21540         4.10                 4.30                
Vardas21541          Pavarde21541         2.90                 3.20                
Vardas21542          Pavarde21542         2.25                 3.40                
Vardas21543          Pavarde21543         4.30                 4.90                
Vardas21544          Pavarde21544         2.05                 2.50                
Vardas21546          Pavarde21546         3.45                 4.20                
Vardas21547          Pavarde21547         4.90                 6.10                
Vardas21549          Pavarde21549         3.50                 5.00                
Vardas21556          Pavarde21556         2.80                 4.10                
Vardas21558          Pavarde21558         2.20                 2.80                
Vardas21559          Pavarde21559         4.55                 6.10                
Vardas21560          Pavarde21560         3.95                 5.70                
Vardas21562          Pavarde21562         4.10                 4.00                
Vardas21566          Pavarde21566         4.90                 5.60                
Vardas21567          Pavarde21567         2.45                 2.60                
Vardas21568          Pavarde21568         4.50                 6.00                
Vardas21569          Pavarde21569         3.55                 5.00                
Vardas21571          Pavarde21571         4.45                 5.20                
Vardas21572          Pavarde21572         4.20                 5.70                
Vardas21573          Pavarde21573         4.30                 4.90                
Vardas21575          Pavarde21575         3.60                 4.50                
Vardas21577          Pavarde21577         4.00                 4.60                
Vardas21581          Pavarde21581         2.80                 3.20                
Vardas21582          Pavarde21582         2.60                 2.90                
Vardas21585          Pavarde21585         2.55                 3.20                
Vardas21586          Pavarde21586         3.45                 3.90                
Vardas21589          Pavarde21589         2.55                 3.20                
Vardas21596          Pavarde21596         2.35                 3.10                
Vardas21597          Pavarde21597         2.20                 2.50                
Vardas216            Pavarde216           2.25                 2.80                
Vardas2160           Pavarde2160          2.40                 2.90                
Vardas21602          Pavarde21602         4.15                 4.60                
Vardas21606          Pavarde21606         4.00                 5.10                
Vardas21607          Pavarde21607         1.85                 1.90                
Vardas21609          Pavarde21609         4.85                 5.60                
Vardas21613          Pavarde21613         3.85                 4.50                
Vardas21615          Pavarde21615         2.35                 2.60                
Vardas2162           Pavarde2162          3.30                 3.80                
Vardas21620          Pavarde21620         2.20                 3.10                
Vardas21624          Pavarde21624         3.05                 3.80                
Vardas21625          Pavarde21625         2.50                 3.70                
Vardas21626          Pavarde21626         2.50                 3.70                
Vardas2163           Pavarde2163          2.35                 3.10                
Vardas21633          Pavarde21633         1.75                 2.20                
Vardas21634          Pavarde21634         3.95                 5.10                
Vardas21635          Pavarde21635         3.05                 4.10                
Vardas21639          Pavarde21639         2.30                 3.40                
Vardas21640          Pavarde21640         4.15                 5.10                
Vardas21642          Pavarde21642         2.40                 3.40                
Vardas21643          Pavarde21643         4.10                 4.60                
Vardas21649          Pavarde21649         3.35                 4.40                
Vardas21653          Pavarde21653         2.10                 2.50                
Vardas21656          Pavarde21656         4.30                 4.60                
Vardas21658          Pavarde21658         2.45                 3.10                
Vardas21659          Pavarde21659         4.40                 5.20                
Vardas21660          Pavarde21660         3.00                 3.80                
Vardas21662          Pavarde21662         1.40                 1.60                
Vardas21665          Pavarde21665         2.85                 2.90                
Vardas21666          Pavarde21666         4.80                 6.40                
Vardas21667          Pavarde21667         3.75                 4.80                
Vardas21668          Pavarde21668         3.55                 5.00                
Vardas21670          Pavarde21670         3.65                 5.00                
Vardas21672          Pavarde21672         2.80                 3.50                
Vardas21674          Pavarde21674         3.65                 5.00                
Vardas21676          Pavarde21676         3.35                 4.70                
Vardas21677          Pavarde21677         3.85                 4.50                
Vardas21678          Pavarde21678         2.30                 3.10                
Vardas2168           Pavarde2168          2.95                 3.80                
Vardas21680          Pavarde21680         3.40                 4.20                
Vardas21681          Pavarde21681         1.95                 1.90                
Vardas21682          Pavarde21682         2.60                 3.20                
Vardas21684          Pavarde21684         3.85                 4.80                
Vardas21688          Pavarde21688         3.05                 4.10                
Vardas21689          Pavarde21689         4.25                 4.60                
Vardas2169           Pavarde2169          2.45                 3.40                
Vardas21690          Pavarde21690         2.30                 3.40                
Vardas21693          Pavarde21693         2.75                 3.70                
Vardas21695          Pavarde21695         2.95                 4.10                
Vardas21696          Pavarde21696         2.60                 4.00                
Vardas2170           Pavarde2170          3.65                 4.50                
Vardas21707          Pavarde21707         2.50                 3.70                
Vardas21709          Pavarde21709         1.80                 1.90                
Vardas21710          Pavarde21710         4.30                 4.30                
Vardas21711          Pavarde21711         2.20                 2.80                
Vardas21712          Pavarde21712         3.55                 4.40                
Vardas21713          Pavarde21713         3.55                 4.80                
Vardas21715          Pavarde21715         2.70                 3.50                
Vardas21717          Pavarde21717         2.40                 3.70                
Vardas21718          Pavarde21718         3.25                 4.40                
Vardas2172           Pavarde2172          1.95                 1.90                
Vardas21720          Pavarde21720         2.65                 3.70                
Vardas21722          Pavarde21722         2.30                 3.70                
Vardas21723          Pavarde21723         4.25                 5.20                
Vardas21724          Pavarde21724         2.80                 4.30                
Vardas21726          Pavarde21726         2.95                 4.00                
Vardas21727          Pavarde21727         1.70                 2.20                
Vardas21728          Pavarde21728         4.10                 5.20                
Vardas21729          Pavarde21729         2.30                 3.10                
Vardas21730          Pavarde21730         4.05                 4.90                
Vardas21731          Pavarde21731         4.20                 6.00                
Vardas21738          Pavarde21738         4.05                 5.40                
Vardas21740          Pavarde21740         2.90                 3.80                
Vardas21741          Pavarde21741         3.85                 4.30                
Vardas21743          Pavarde21743         4.75                 5.30                
Vardas21745          Pavarde21745         2.70                 3.80                
Vardas21750          Pavarde21750         4.40                 5.50                
Vardas21757          Pavarde21757         3.40                 4.70                
Vardas21758          Pavarde21758         3.70                 4.20                
Vardas21759          Pavarde21759         2.40                 3.70                
Vardas2176           Pavarde2176          3.10                 4.10                
Vardas21761          Pavarde21761         2.60                 3.40                
Vardas21762          Pavarde21762         4.90                 5.30                
Vardas2177           Pavarde2177          3.55                 3.90                
Vardas21770          Pavarde21770         2.20                 2.50                
Vardas21775          Pavarde21775         4.20                 4.90                
Vardas21776          Pavarde21776         4.85                 6.70                
Vardas21777          Pavarde21777         3.10                 4.40                
Vardas2178           Pavarde2178          2.85                 3.20                
Vardas21783          Pavarde21783         3.35                 4.40                
Vardas21784          Pavarde21784         4.15                 4.60                
Vardas21787          Pavarde21787         3.20                 3.30                
Vardas21789          Pavarde21789         4.45                 4.60                
Vardas21791          Pavarde21791         3.75                 4.50                
Vardas21793          Pavarde21793         3.65                 4.50                
Vardas21795          Pavarde21795         3.25                 4.70                
Vardas21797          Pavarde21797         2.90                 2.90                
Vardas21799          Pavarde21799         4.45                 5.20                
Vardas2180           Pavarde2180          4.10                 5.70                
Vardas21802          Pavarde21802         4.00                 4.80                
Vardas21804          Pavarde21804         2.85                 2.60                
Vardas21806          Pavarde21806         3.30                 4.40                
Vardas21809          Pavarde21809         4.30                 4.90                
Vardas21810          Pavarde21810         4.70                 6.10                
Vardas21812          Pavarde21812         2.50                 2.90                
Vardas21814          Pavarde21814         2.85                 4.00                
Vardas21815          Pavarde21815         3.65                 4.80                
Vardas21816          Pavarde21816         2.75                 3.50                
Vardas21817          Pavarde21817         4.35                 4.30                
Vardas21818          Pavarde21818         2.65                 3.70                
Vardas21819          Pavarde21819         3.70                 4.80                
Vardas21824          Pavarde21824         2.20                 2.20                
Vardas21825          Pavarde21825         3.45                 4.40                
Vardas21829          Pavarde21829         2.05                 2.50                
Vardas21831          Pavarde21831         2.40                 3.70                
Vardas21832          Pavarde21832         3.80                 5.10                
Vardas21836          Pavarde21836         3.85                 5.40                
Vardas21837          Pavarde21837         3.90                 4.80                
Vardas21840          Pavarde21840         3.75                 4.50                
Vardas21841          Pavarde21841         3.80                 4.20                
Vardas21842          Pavarde21842         2.30                 3.10                
Vardas21843          Pavarde21843         3.15                 4.90                
Vardas21845          Pavarde21845         3.85                 4.00                
Vardas21852          Pavarde21852         3.20                 4.70                
Vardas21854          Pavarde21854         4.65                 4.40                
Vardas21857          Pavarde21857         4.40                 5.50                
Vardas21858          Pavarde21858         3.60                 3.60                
Vardas2186           Pavarde2186          5.00                 5.60                
Vardas21860          Pavarde21860         5.00                 6.10                
Vardas21862          Pavarde21862         3.80                 4.80                
Vardas21863          Pavarde21863         1.90                 2.50                
Vardas21866          Pavarde21866         4.55                 5.20                
Vardas21867          Pavarde21867         3.05                 4.90                
Vardas21868          Pavarde21868         3.20                 4.60                
Vardas21869          Pavarde21869         2.55                 4.00                
Vardas21873          Pavarde21873         2.65                 4.30                
Vardas21876          Pavarde21876         3.65                 4.00                
Vardas21878          Pavarde21878         3.70                 4.70                
Vardas2188           Pavarde2188          3.30                 4.20                
Vardas21880          Pavarde21880         2.75                 4.00                
Vardas21881          Pavarde21881         4.95                 5.80                
Vardas21882          Pavarde21882         4.60                 5.80                
Vardas21883          Pavarde21883         3.50                 4.70                
Vardas21885          Pavarde21885         2.80                 3.50                
Vardas21886          Pavarde21886         4.35                 5.20                
Vardas21889          Pavarde21889         3.65                 4.00                
Vardas21890          Pavarde21890         4.65                 5.80                
Vardas21891          Pavarde21891         3.85                 4.60                
Vardas21898          Pavarde21898         3.30                 3.90                
Vardas21899          Pavarde21899         4.65                 6.10                
Vardas21902          Pavarde21902         2.80                 4.00                
Vardas21903          Pavarde21903         3.35                 3.90                
Vardas21904          Pavarde21904         2.95                 3.80                
Vardas21906          Pavarde21906         3.20                 4.10                
Vardas2191           Pavarde2191          2.15                 2.80                
Vardas21910          Pavarde21910         4.10                 4.60                
Vardas21912          Pavarde21912         2.70                 3.70                
Vardas21914          Pavarde21914         5.00                 5.60                
Vardas21916          Pavarde21916         4.25                 4.90                
Vardas21917          Pavarde21917         3.45                 5.30                
Vardas21918          Pavarde21918         4.50                 5.20                
Vardas2192           Pavarde2192          4.45                 5.20                
Vardas21925          Pavarde21925         3.75                 5.30                
Vardas21929          Pavarde21929         4.95                 5.90                
Vardas2193           Pavarde2193          3.00                 4.60                
Vardas21930          Pavarde21930         2.95                 3.50                
Vardas21931          Pavarde21931         3.25                 4.10                
Vardas21932          Pavarde21932         4.90                 5.60                
Vardas21933          Pavarde21933         4.15                 4.90                
Vardas21934          Pavarde21934         4.20                 5.20                
Vardas21935          Pavarde21935         2.20                 3.10                
Vardas21938          Pavarde21938         1.95                 1.90                
Vardas21939          Pavarde21939         2.15                 2.80                
Vardas21943          Pavarde21943         2.75                 4.00                
Vardas21944          Pavarde21944         3.55                 3.60                
Vardas21945          Pavarde21945         3.00                 4.60                
Vardas21948          Pavarde21948         3.05                 4.40                
Vardas21951          Pavarde21951         4.35                 5.00                
Vardas21952          Pavarde21952         4.45                 5.50                
Vardas21957          Pavarde21957         3.80                 4.50                
Vardas21959          Pavarde21959         3.45                 5.00                
Vardas2196           Pavarde2196          3.40                 5.30                
Vardas21960          Pavarde21960         4.70                 5.30                
Vardas21961          Pavarde21961         4.05                 4.60                
Vardas21963          Pavarde21963         2.60                 3.20                
Vardas21966          Pavarde21966         2.90                 3.50                
Vardas21968          Pavarde21968         4.40                 5.10                
Vardas21970          Pavarde21970         3.85                 4.50                
Vardas21973          Pavarde21973         1.70                 2.20                
Vardas21974          Pavarde21974         4.30                 5.20                
Vardas21975          Pavarde21975         3.05                 4.90                
Vardas21976          Pavarde21976         4.50                 5.70                
Vardas21977          Pavarde21977         2.10                 2.50                
Vardas21979          Pavarde21979         1.90                 2.50                
Vardas21983          Pavarde21983         2.40                 3.10                
Vardas21985          Pavarde21985         4.10                 3.70                
Vardas21988          Pavarde21988         2.80                 3.70                
Vardas21990          Pavarde21990         2.35                 3.40                
Vardas21991          Pavarde21991         3.55                 4.20                
Vardas21995          Pavarde21995         2.20                 3.10                
Vardas21996          Pavarde21996         2.15                 2.80                
Vardas21997          Pavarde21997         2.95                 3.50                
Vardas21998          Pavarde21998         2.25                 3.10                
Vardas21999          Pavarde21999         1.90                 2.80                
Vardas220            Pavarde220           4.00                 5.10                
Vardas22000          Pavarde22000         3.35                 4.70                
Vardas22003          Pavarde22003         2.00                 2.50                
Vardas22005          Pavarde22005         2.00                 2.80                
Vardas22008          Pavarde22008         4.50                 5.70                
Vardas22010          Pavarde22010         2.55                 2.90                
Vardas22011          Pavarde22011         3.65                 4.20                
Vardas22016          Pavarde22016         2.25                 3.10                
Vardas22017          Pavarde22017         2.05                 3.10                
Vardas22019          Pavarde22019         4.40                 5.10                
Vardas2202           Pavarde2202          4.35                 4.60                
Vardas22021          Pavarde22021         3.95                 5.40                
Vardas22025          Pavarde22025         3.35                 4.70                
Vardas22026          Pavarde22026         2.20                 2.50                
Vardas22027          Pavarde22027         3.15                 3.80                
Vardas22029          Pavarde22029         1.90                 1.90                
Vardas22030          Pavarde22030         4.70                 5.20                
Vardas22033          Pavarde22033         4.25                 4.90                
Vardas22034          Pavarde22034         4.20                 5.70                
Vardas22037          Pavarde22037         1.80                 2.80                
Vardas22038          Pavarde22038         4.60                 4.70                
Vardas22039          Pavarde22039         3.45                 4.20                
Vardas22042          Pavarde22042         4.50                 5.50                
Vardas22046          Pavarde22046         3.70                 4.20                
Vardas22047          Pavarde22047         2.70                 4.00                
Vardas22049          Pavarde22049         2.05                 2.30                
Vardas22050          Pavarde22050         3.15                 4.10                
Vardas22053          Pavarde22053         4.05                 5.40                
Vardas22056          Pavarde22056         3.90                 4.30                
Vardas22058          Pavarde22058         4.10                 4.00                
Vardas22061          Pavarde22061         2.95                 4.10                
Vardas22063          Pavarde22063         2.30                 3.10                
Vardas22065          Pavarde22065         2.95                 3.80                
Vardas22066          Pavarde22066         4.25                 5.20                
Vardas22070          Pavarde22070         4.50                 5.50                
Vardas22071          Pavarde22071         3.10                 4.10                
Vardas22077          Pavarde22077         3.75                 4.80                
Vardas2208           Pavarde2208          2.50                 4.00                
Vardas22082          Pavarde22082         4.80                 5.60                
Vardas22084          Pavarde22084         4.50                 5.80                
Vardas22086          Pavarde22086         2.75                 3.50                
Vardas22087          Pavarde22087         4.35                 5.20                
Vardas22088          Pavarde22088         4.05                 5.10                
Vardas22091          Pavarde22091         4.40                 5.50                
Vardas22092          Pavarde22092         2.95                 3.50                
Vardas22094          Pavarde22094         1.80                 1.90                
Vardas22095          Pavarde22095         4.80                 6.10                
Vardas22097          Pavarde22097         3.05                 3.80                
Vardas221            Pavarde221           2.40                 3.40                
Vardas22103          Pavarde22103         2.30                 3.40                
Vardas22104          Pavarde22104         2.25                 3.10                
Vardas22105          Pavarde22105         3.00                 4.10                
Vardas22107          Pavarde22107         4.30                 5.10                
Vardas22109          Pavarde22109         3.45                 4.70                
Vardas22114          Pavarde22114         4.90                 5.90                
Vardas22117          Pavarde22117         1.95                 2.50                
Vardas22118          Pavarde22118         2.35                 3.40                
Vardas22121          Pavarde22121         4.35                 6.00                
Vardas22123          Pavarde22123         4.10                 6.00                
Vardas22124          Pavarde22124         3.80                 4.80                
Vardas22128          Pavarde22128         2.35                 3.70                
Vardas22129          Pavarde22129         2.90                 3.20                
Vardas2213           Pavarde2213          2.95                 4.60                
Vardas22132          Pavarde22132         2.15                 2.80                
Vardas22134          Pavarde22134         3.95                 4.50                
Vardas22135          Pavarde22135         5.00                 6.20                
Vardas22137          Pavarde22137         2.25                 2.80                
Vardas22138          Pavarde22138         5.00                 6.20                
Vardas2214           Pavarde2214          3.15                 3.80                
Vardas22140          Pavarde22140         3.75                 4.20                
Vardas22142          Pavarde22142         4.15                 4.60                
Vardas22143          Pavarde22143         1.95                 2.20                
Vardas22144          Pavarde22144         3.90                 3.70                
Vardas22146          Pavarde22146         2.75                 3.50                
Vardas22147          Pavarde22147         3.65                 4.50                
Vardas22148          Pavarde22148         4.40                 4.90                
Vardas22149          Pavarde22149         4.10                 5.40                
Vardas22150          Pavarde22150         2.25                 2.50                
Vardas22151          Pavarde22151         2.55                 3.20                
Vardas22153          Pavarde22153         2.90                 3.80                
Vardas22155          Pavarde22155         3.90                 5.40                
Vardas22156          Pavarde22156         3.80                 4.50                
Vardas22161          Pavarde22161         2.50                 4.00                
Vardas22164          Pavarde22164         4.55                 5.80                
Vardas22165          Pavarde22165         2.70                 3.70                
Vardas22167          Pavarde22167         3.05                 4.10                
Vardas22168          Pavarde22168         3.30                 3.60                
Vardas2217           Pavarde2217          2.25                 3.40                
Vardas22172          Pavarde22172         4.00                 3.70                
Vardas22177          Pavarde22177         3.75                 4.20                
Vardas22178          Pavarde22178         2.80                 3.20                
Vardas22181          Pavarde22181         3.80                 4.50                
Vardas22183          Pavarde22183         4.55                 5.80                
Vardas22185          Pavarde22185         1.85                 2.20                
Vardas22186          Pavarde22186         4.90                 5.80                
Vardas22191          Pavarde22191         3.25                 3.60                
Vardas22193          Pavarde22193         4.30                 4.00                
